class_id,class_name,num_bbox,num_images,invalid_bbox_count,duplicate_candidate_count,decision,rationale,risk_or_limitation
0,Aortic enlargement,7162,3067,0,7,keep,All 7162 bbox rows across 3067 images are valid (invalid_bbox_count = 0). 7 duplicate candidate pair(s) flagged at metadata level only. Class has sufficient bbox coverage to retain at this stage.,7 duplicate candidate pair(s) in this class. Metadata-level flag only; not a confirmed annotation error.
3,Cardiomegaly,5427,2300,0,47,keep,All 5427 bbox rows across 2300 images are valid (invalid_bbox_count = 0). 47 duplicate candidate pair(s) flagged at metadata level only. Class has sufficient bbox coverage to retain at this stage.,47 duplicate candidate pair(s) in this class. Metadata-level flag only; not a confirmed annotation error.
11,Pleural thickening,4842,1981,0,2,keep,All 4842 bbox rows across 1981 images are valid (invalid_bbox_count = 0). 2 duplicate candidate pair(s) flagged at metadata level only. Class has sufficient bbox coverage to retain at this stage.,No significant risk identified at this stage.
13,Pulmonary fibrosis,4655,1617,0,3,keep,All 4655 bbox rows across 1617 images are valid (invalid_bbox_count = 0). 3 duplicate candidate pair(s) flagged at metadata level only. Class has sufficient bbox coverage to retain at this stage.,No significant risk identified at this stage.
8,Nodule/Mass,2580,826,0,1,keep,All 2580 bbox rows across 826 images are valid (invalid_bbox_count = 0). 1 duplicate candidate pair(s) flagged at metadata level only. Class has sufficient bbox coverage to retain at this stage.,No significant risk identified at this stage.
7,Lung Opacity,2483,1322,0,2,keep,All 2483 bbox rows across 1322 images are valid (invalid_bbox_count = 0). 2 duplicate candidate pair(s) flagged at metadata level only. Class has sufficient bbox coverage to retain at this stage.,No significant risk identified at this stage.
10,Pleural effusion,2476,1032,0,3,keep,All 2476 bbox rows across 1032 images are valid (invalid_bbox_count = 0). 3 duplicate candidate pair(s) flagged at metadata level only. Class has sufficient bbox coverage to retain at this stage.,No significant risk identified at this stage.
9,Other lesion,2203,1134,0,0,keep,All 2203 bbox rows across 1134 images are valid (invalid_bbox_count = 0). Class has sufficient bbox coverage to retain at this stage.,No significant risk identified at this stage.
6,Infiltration,1247,613,0,1,keep,All 1247 bbox rows across 613 images are valid (invalid_bbox_count = 0). 1 duplicate candidate pair(s) flagged at metadata level only. Class has sufficient bbox coverage to retain at this stage.,No significant risk identified at this stage.
5,ILD,1000,386,0,3,keep,All 1000 bbox rows across 386 images are valid (invalid_bbox_count = 0). 3 duplicate candidate pair(s) flagged at metadata level only. Class has sufficient bbox coverage to retain at this stage.,No significant risk identified at this stage.
2,Calcification,960,452,0,2,keep,All 960 bbox rows across 452 images are valid (invalid_bbox_count = 0). 2 duplicate candidate pair(s) flagged at metadata level only. Class has sufficient bbox coverage to retain at this stage.,No significant risk identified at this stage.
4,Consolidation,556,353,0,0,keep,All 556 bbox rows across 353 images are valid (invalid_bbox_count = 0). Class has sufficient bbox coverage to retain at this stage.,No significant risk identified at this stage.
1,Atelectasis,279,186,0,0,keep,All 279 bbox rows across 186 images are valid (invalid_bbox_count = 0). Rare class (279 bbox rows) — retained to avoid premature scope narrowing; class imbalance will be analyzed in PHASE 2C — Class Imbalance & Sampling Strategy Design.,"Very rare class (279 bbox, 186 images). May require oversampling or weighted loss in training strategy."
12,Pneumothorax,226,96,0,7,keep,All 226 bbox rows across 96 images are valid (invalid_bbox_count = 0). 7 duplicate candidate pair(s) flagged at metadata level only. Rare class (226 bbox rows) — retained to avoid premature scope narrowing; class imbalance will be analyzed in PHASE 2C — Class Imbalance & Sampling Strategy Design.,"Very rare class (226 bbox, 96 images). May require oversampling or weighted loss in training strategy."
